ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2Ng==,2020-06-18T23:57:37+00:00,LBAND,511.8617001869152,10.39066315293105,3.029803952814246e-05,59000.0,1.0504,0.105,651.695129394531,1.197,-0.684783,0.08,0.11315724206349206
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTUzNA==,2019-03-15T08:21:16+00:00,LBAND,503.9999999999993,10.390435405161721,4.341240208950957e-05,59000.0,2.0142,0.096,1073.61193847656,2.0,-1.1887,0.09,0.1565061475409836
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU3MQ==,2019-09-23T14:40:54+00:00,LBAND,257.53764007476656,10.390547451211278,3.720473494387245e-05,59000.0,0.7143,0.163,445.6337890625,1.192,-1.32312,0.09,0.04845661846496107
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcxMw==,2021-08-16T21:45:05+00:00,LBAND,511.5476240747657,10.390733042878907,2.243098715780229e-05,59000.0,1.1721,0.079,1206.4921875,1.945,-0.826814,0.06,0.10478670634920635
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDM4MDU=,2024-01-10T10:47:33+00:00,LBAND,255.4922084485981,10.390342942222555,7.46627984704241e-05,59000.0,1.7522,0.188,507.685211181641,1.222,-2.76556,0.1,0.09809727822580645
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcwNg==,2021-06-08T03:48:29+00:00,LBAND,254.47962078504605,10.390870680116153,2.159812344447803e-05,59000.0,1.0441,0.117,667.259643554688,1.544,-0.67114,0.05,0.0780304939516129
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcxMA==,2021-07-06T01:18:57+00:00,LBAND,255.5777890093451,10.390686579150268,2.419144267441144e-05,59000.0,2.3068,0.083,1375.17395019531,3.312,-0.600355,0.05,0.12169228830645161
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU2MDA=,2024-04-30T06:06:20+00:00,LBAND,254.55393016822424,10.39010669169826,3.582578172750274e-05,59000.0,0.5914,0.051,1038.95520019531,2.474,-1.13536,0.09,0.10984753024193548
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU0OA==,2019-07-14T17:40:06+00:00,LBAND,257.45856598130865,10.390589760281063,6.692817593784834e-05,59000.0,0.3137,0.219,229.101791381836,0.653,-0.381019,0.2,0.1385567296996663
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU2Ng==,2019-09-01T23:03:36+00:00,LBAND,257.61560044859834,10.390446956396618,2.972919563665964e-05,59000.0,1.1661,0.079,1133.939453125,2.49,-1.01097,0.07,0.06128337041156841
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU2NQ==,2019-08-25T19:45:00+00:00,LBAND,262.16291768224323,10.390488611366537,1.523269045052805e-05,59000.0,1.1315,0.052,1612.40319824219,3.585,-0.957526,0.05,0.028084590517241378
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxMw==,2020-03-06T04:45:34+00:00,LBAND,907.5372022429899,10.390535114440903,3.27422185778582e-05,59000.0,4.8314,0.086,2059.1826171875,2.497,-0.655791,0.05,0.09907356194690266
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc0MQ==,2022-09-07T18:15:46+00:00,LBAND,510.52852396261613,10.390448758526675,1.670678189100283e-05,59000.0,1.4475,0.053,2056.29150390625,3.021,-0.960505,0.05,0.09815228174603174
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTUzNg==,2019-04-16T23:39:29+00:00,LBAND,240.0000000000002,10.390403022988728,3.132929912340993e-05,59000.0,1.1993,0.112,822.396484375,2.476,-5.96459,0.08,0.13235067733990147
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYwOA==,2020-03-01T09:35:59+00:00,LBAND,513.5078543551394,10.390699487007236,4.477590375027302e-05,59000.0,1.3717,0.187,496.338806152344,0.791,-1.00507,0.1,0.076385498046875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU4Mw==,2019-10-27T09:57:55+00:00,LBAND,258.5566935327105,10.390598853855863,5.581271567774385e-05,59000.0,1.2198,0.204,428.904541015625,1.244,-1.18116,0.09,0.20328142380422692
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2NA==,2020-06-05T23:44:37+00:00,LBAND,511.8617001869152,10.390593161147358,4.814430464136893e-05,59000.0,1.0879,0.103,613.915710449219,1.121,-0.336484,0.11,0.0986328125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY4Mg==,2020-09-27T17:27:37+00:00,LBAND,511.5476240747656,10.390839832866464,1.732546956636346e-05,59000.0,0.6264,0.065,917.013488769531,1.578,-0.838857,0.06,0.09322296626984126
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzM1MzA=,2024-03-07T05:14:44+00:00,LBAND,255.49220844859806,10.390107447359236,1.883522990492339e-05,59000.0,1.28,0.034,2311.83325195312,4.759,-0.990151,0.06,0.10231854838709678
