#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;Gl;Gb;
 ; ;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(deg);(deg);
2741;J1914+0631;hfs+04;19:14:17.24;4.0e-02;hfs+04;+06:31:56.3;1.0e+00;hfs+04;*;0;*;*;0;*;41.352   ;-2.071   ;
2742;J1914+0659;lbh+15;19:14:17.647;2.0e-03;sab+16;+07:01:11.00;7.0e-02;sab+16;*;0;*;*;0;*;41.785   ;-1.846   ;
2743;J1914+0805;hww+21;19:14:05.508;9.0e-03;psf+22;+08:05:12.7;2.0e-01;psf+22;*;0;*;*;0;*;42.708   ;-1.307   ;
2744;J1914+0838;kbj+18;19:14:26.4506;1.4e-03;psf+22;+08:38:45.14;3.0e-02;psf+22;*;0;*;*;0;*;43.243   ;-1.124   ;
2745;J1914+1029g;hww+21;19:14:23;6.0e+00;hww+21;+10:29;2.0e+00;hww+21;*;0;*;*;0;*;44.864   ;-0.258   ;
2746;J1914+1054g;hww+21;19:14:07;6.0e+00;hww+21;+10:54;2.0e+00;hww+21;*;0;*;*;0;*;45.202   ;-0.007   ;
2747;J1914+1122;ht75b;19:14:10.12;1.0e-02;gr78;+11:22:03.7;2.0e-01;gr78;*;0;*;*;0;*;45.623   ;0.199    ;
2748;J1914+1228g;hww+21;19:14:55;7.0e+00;hww+21;+12:28;2.0e+00;hww+21;*;0;*;*;0;*;46.681   ;0.548    ;
2749;J1914+1428;psf+22;19:14:53.946;8.0e-03;psf+22;+14:28:46.2;2.0e-01;psf+22;*;0;*;*;0;*;48.461   ;1.487    ;
2750;J1915+0227;lfl+06;19:15:02.122;5.0e-03;lfl+06;+02:27:47.77;1.6e-01;lfl+06;*;0;*;*;0;*;37.825   ;-4.117   ;
2751;J1915+0639;psf+22;19:15:54.327;2.0e-03;psf+22;+06:39:46.21;4.0e-02;psf+22;*;0;*;*;0;*;41.655   ;-2.366   ;
2752;J1915+0738;nft95;19:15:24.80;2.0e-02;cn95;+07:38:31.4;8.0e-01;cn95;*;0;*;*;0;*;42.466   ;-1.803   ;
2753;J1915+0752;rtj+96;19:15:01.94;2.0e-02;clm+05;+07:52:09.2;6.0e-01;clm+05;*;0;*;*;0;*;42.623   ;-1.614   ;
2754;J1915+0832g;hww+21;19:15:06;6.0e+00;hww+21;+08:32;2.0e+00;hww+21;*;0;*;*;0;*;43.219   ;-1.321   ;
2755;J1915+0838;hfs+04;19:15:13.87;3.0e-02;hfs+04;+08:38:59.7;1.3e+00;hfs+04;*;0;*;*;0;*;43.337   ;-1.295   ;
2756;J1915+1009;ht75b;19:15:29.991;3.0e-03;jbv+19;+10:09:43.37;6.0e-02;jbv+19;6;2.0e+00;jbv+19;-17;4.0e+00;jbv+19;44.707   ;-0.651   ;
2757;J1915-11;kkl+15;19:15;2.0e+00;kkl+15;-11:30;3.6e+01;kkl+15;*;0;*;*;0;*;25.244   ;-10.394  ;
2758;J1915+1145;lbh+15;19:15:33.1231;8.0e-04;psf+22;+11:45:40.98;2.0e-02;psf+22;*;0;*;*;0;*;46.129   ;0.082    ;
2759;J1915+1150;lbh+15;19:15:16.61;6.0e-02;psf+22;+11:50:35.4;9.0e-01;psf+22;*;0;*;*;0;*;46.170   ;0.180    ;
2760;J1915+1410;lfl+06;19:15:35.416;1.2e-02;lfl+06;+14:10:51.5;3.0e-01;lfl+06;*;0;*;*;0;*;48.275   ;1.200    ;
2761;J1915+1606;ht75a;19:15:27.99942;3.0e-05;wh16;+16:06:27.3868;5.0e-04;wh16;-0.72;1.1e-01;dwnc18;-0.03;1.4e-01;dwnc18;49.968   ;2.122    ;
2762;J1915+1647;ht75b;19:15:19.10;2.4e-02;hlk+04;+16:47:08.5;5.4e-01;hlk+04;*;0;*;*;0;*;50.552   ;2.468    ;
2763;J1916+0741g;hww+21;19:16:17;6.0e+00;hww+21;+07:41;2.0e+00;hww+21;*;0;*;*;0;*;42.602   ;-1.975   ;
2764;J1916+0748;rtj+96;19:16:51.5;2.0e-01;clm+05;+07:48:00;5.0e+00;clm+05;*;0;*;*;0;*;42.772   ;-2.047   ;
2765;J1916+0748g;hww+21;19:17:00;6.0e+00;hww+21;+07:48;2.0e+00;hww+21;*;0;*;*;0;*;42.788   ;-2.078   ;
2766;J1916+0844;hfs+04;19:16:19.081;9.0e-03;hfs+04;+08:44:07.0;4.0e-01;hfs+04;*;0;*;*;0;*;43.538   ;-1.493   ;
2767;J1916+0852;hfs+04;19:16:24.6;3.0e-01;hfs+04;+08:52:36;5.0e+00;hfs+04;*;0;*;*;0;*;43.674   ;-1.448   ;
2768;J1916+0951;ht74;19:16:32.3445;1.7e-03;hlk+04;+09:51:25.98;4.3e-02;hlk+04;-9;4.1e+00;*;-2;7.1e+00;*;44.556   ;-1.019   ;
2769;J1916+1023;hfs+04;19:16:36.91;1.5e-01;hfs+04;+10:23:03;6.0e+00;hfs+04;*;0;*;*;0;*;45.031   ;-0.790   ;
2770;J1916+1030;wol91b;19:16:11.72;1.0e-02;wol91b;+10:30:53.4;6.0e-01;wol91b;*;0;*;*;0;*;45.099   ;-0.638   ;
2771;J1916+1030g;hww+21;19:16:46;6.0e+00;hww+21;+10:30;2.0e+00;hww+21;*;0;*;*;0;*;45.151   ;-0.769   ;
2772;J1916+1225;nab+13;19:16:20.045;1.0e-03;nab+13;+12:25:53.94;4.0e-02;nab+13;*;0;*;*;0;*;46.811   ;0.225    ;
2773;J1916+1312;ht74;19:16:58.67;2.0e-02;lbs+20;+13:12:50.0;4.0e-01;lbs+20;*;0;*;*;0;*;47.576   ;0.451    ;
2774;J1916-2939;acd+19;19:16:32.701;5.0e-03;acd+19;-29:39:27.8;3.0e-01;acd+19;*;0;*;*;0;*;8.245    ;-18.070  ;
2775;J1916+3224;scb+19;19:16:03.468;4.0e-03;tbc+20;+32:24:39.70;6.0e-02;tbc+20;*;0;*;*;0;*;64.627   ;9.430    ;
2776;J1917+0743g;hww+21;19:17:26;6.0e+00;hww+21;+07:43;2.0e+00;hww+21;*;0;*;*;0;*;42.765   ;-2.212   ;
2777;J1917+0834;nic99;19:17:48.853;6.0e-03;clm+05;+08:34:54.63;1.4e-01;clm+05;*;0;*;*;0;*;43.575   ;-1.892   ;
2778;J1917+1046g;hww+21;19:17:55;6.0e+00;hww+21;+10:46;2.0e+00;hww+21;*;0;*;*;0;*;45.519   ;-0.894   ;
2779;J1917+1121g;hww+21;19:17:27;6.0e+00;hww+21;+11:21;2.0e+00;hww+21;*;0;*;*;0;*;45.981   ;-0.521   ;
2780;J1917+1259g;hww+21;19:17:29;6.0e+00;hww+21;+12:59;2.0e+00;hww+21;*;0;*;*;0;*;47.430   ;0.235    ;
2781;J1917+1353;smb71;19:17:39.7864;1.0e-04;dgb+19;+13:53:57.077;1.0e-03;dgb+19;-1.28;5.0e-02;dgb+19;3.81;6.0e-02;dgb+19;48.260   ;0.624    ;
2782;J1917+1411g;hww+21;19:17:26;7.0e+00;hww+21;+14:11;2.0e+00;hww+21;*;0;*;*;0;*;48.485   ;0.806    ;
2783;J1917+17;tkt22;19:17;4.0e+00;tkt22;+17:24;1.5e+01;tkt22;*;0;*;*;0;*;51.284   ;2.397    ;
2784;J1917+1737;nab+13;19:17:23.976;5.0e-03;nab+13;+17:37:31.6;1.0e-01;nab+13;*;0;*;*;0;*;51.528   ;2.418    ;
2785;J1917+2224;sstd86;19:17:44.22;5.7e-02;hlk+04;+22:22:48.8;1.1e+00;hlk+04;*;0;*;*;0;*;55.785   ;4.553    ;
2786;J1918-0642;eb01b;19:18:48.032722;2.7e-06;abb+18;-06:42:34.90044;1.4e-04;abb+18;-7.149;1.2e-02;*;-5.97;5.0e-02;*;30.027   ;-9.123   ;
2787;J1918-1052;lbr+13;19:18:48.247;1.3e-02;lbr+13;-10:52:46.38;6.6e-01;lbr+13;*;0;*;*;0;*;26.226   ;-10.963  ;
2788;J1918+1311;lbh+15;19:18:46.220;5.0e-03;psf+22;+13:11:24.51;1.3e-01;psf+22;*;0;*;*;0;*;47.759   ;0.055    ;
2789;J1918+1340g;hww+21;19:18:54;7.0e+00;hww+21;+13:40;2.0e+00;hww+21;*;0;*;*;0;*;48.195   ;0.250    ;
2790;J1918+1444;ht74;19:18:23.638;6.1e-03;hlk+04;+14:45:06.00;1.4e-01;hlk+04;*;0;*;*;0;*;49.096   ;0.866    ;
2791;J1918+1536g;hww+21;19:18:23;7.0e+00;hww+21;+15:36;2.0e+00;hww+21;*;0;*;*;0;*;49.845   ;1.265    ;
2792;J1918+1540g;hww+21;19:18:19;7.0e+00;hww+21;+15:40;2.0e+00;hww+21;*;0;*;*;0;*;49.897   ;1.310    ;
2793;J1918+1541;nft95;19:18:07.70;6.0e-02;cn95;+15:41:15.2;7.0e-01;cn95;*;0;*;*;0;*;49.894   ;1.360    ;
2794;J1918+1547g;hww+21;19:18:34;7.0e+00;hww+21;+15:47;2.0e+00;hww+21;*;0;*;*;0;*;50.028   ;1.311    ;
2795;J1919+0021;dls72;19:19:50.6715;1.0e-04;dgb+19;+00:21:39.722;2.0e-03;dgb+19;10.11;9.0e-02;dgb+19;-4.70;9.0e-02;dgb+19;36.506   ;-6.151   ;
2796;J1919+0134;ebvb01;19:19:43.62;3.0e-02;ebvb01;+01:34:56.5;7.0e-01;ebvb01;*;0;*;*;0;*;37.582   ;-5.563   ;
2797;J1919+1314;nab+13;19:19:32.986;5.0e-03;nab+13;+13:14:37.3;1.0e-01;nab+13;*;0;*;*;0;*;47.895   ;-0.088   ;
2798;J1919+1527g;hww+21;19:19:50;7.0e+00;hww+21;+15:27;2.0e+00;hww+21;*;0;*;*;0;*;49.876   ;0.886    ;
2799;J1919+1645;lcm13;19:19:09.243;2.0e-03;lcm13;+16:45:22.72;8.0e-02;lcm13;*;0;*;*;0;*;50.954   ;1.642    ;
2800;J1919+1745;dcm+09;19:19:43.342;4.0e-03;nab+13;+17:45:03.79;8.0e-02;nab+13;*;0;*;*;0;*;51.897   ;1.987    ;
2801;J1919+23;aab+22;19:19:26;0;aab+22;+23:52:46;0;aab+22;*;0;*;*;0;*;57.300   ;4.901    ;
2802;J1919+2621;clh+20;19:19:41.013;4.0e-03;clh+20;+26:21:29.46;9.0e-02;clh+20;*;0;*;*;0;*;59.535   ;5.993    ;
2803;J1920-0950;bbb+12;19:20:55.93;3.0e-02;bsb+19;-09:50:01.0;1.8e+00;bsb+19;*;0;*;*;0;*;27.417   ;-10.977  ;
2804;J1920+1040;hfs+04;19:20:55.38;8.0e-02;hfs+04;+10:40:31;3.0e+00;hfs+04;*;0;*;*;0;*;45.784   ;-1.590   ;
2805;J1920+1110;mhl+02;19:20:13.31;6.0e-02;mhl+02;+11:10:59;3.0e+00;mhl+02;*;0;*;*;0;*;46.152   ;-1.199   ;
2806;J1920+1515g;hww+21;19:20:22;7.0e+00;hww+21;+15:15;2.0e+00;hww+21;*;0;*;*;0;*;49.760   ;0.679    ;
2807;J1920+2650;dtws85;19:20:38.374;1.6e-02;hlk+04;+26:50:38.4;2.9e-01;hlk+04;*;0;*;*;0;*;60.068   ;6.027    ;
2808;J1921+0137;san16;19:21:30.30765;5.0e-05;san16;+01:37:25.539;3.0e-03;san16;*;0;*;*;0;*;37.825   ;-5.938   ;
2809;J1921-05;mbc+19;19:21:04;2.8e+01;mbc+19;-05:23;7.0e+00;mbc+19;*;0;*;*;0;*;31.483   ;-9.033   ;
2810;J1921-0510;sfj+20;19:21:29.45;2.0e-02;sfj+20;-05:10:10.8;7.0e-01;sfj+20;*;0;*;*;0;*;31.724   ;-9.032   ;
2811;J1921+0812;lfl+06;19:21:47.704;5.0e-03;lfl+06;+08:12:51.86;1.0e-01;lfl+06;*;0;*;*;0;*;43.710   ;-2.934   ;
2812;J1921+0921;psf+22;19:21:53.487;9.0e-03;psf+22;+09:21:30.2;2.0e-01;psf+22;*;0;*;*;0;*;44.733   ;-2.418   ;
2813;J1921+1259g;hww+21;19:21:18;7.0e+00;hww+21;+12:59;2.0e+00;hww+21;*;0;*;*;0;*;47.865   ;-0.586   ;
2814;J1921+1340g;hww+21;19:21:30;7.0e+00;hww+21;+13:40;2.0e+00;hww+21;*;0;*;*;0;*;48.491   ;-0.308   ;
2815;J1921+1419;ht74;19:21:24.159;1.5e-02;hlk+04;+14:19:17.1;3.9e-01;hlk+04;*;0;*;*;0;*;49.058   ;0.021    ;
2816;J1921+1505g;hww+21;19:21:25;7.0e+00;hww+21;+15:05;2.0e+00;hww+21;*;0;*;*;0;*;49.732   ;0.377    ;
2817;J1921+1544;lcm13;19:21:46.4723;9.0e-04;lcm13;+15:44:17.46;2.0e-02;lcm13;*;0;*;*;0;*;50.350   ;0.609    ;
2818;J1921+1630;psf+22;19:21:00.142;1.8e-02;psf+22;+16:30:55.8;9.0e-01;psf+22;*;0;*;*;0;*;50.949   ;1.138    ;
2819;J1921+1929;pkr+19;19:21:23.35070;4.0e-05;pkr+19;+19:29:22.299;1.0e-03;pkr+19;-3.2;8.0e-01;pkr+19;-11;1.0e+00;pkr+19;53.619   ;2.453    ;
2820;J1921+1948;dls73;19:21:03.799;1.6e-02;hlk+04;+19:48:44.7;3.6e-01;hlk+04;*;0;*;*;0;*;53.869   ;2.672    ;
2821;J1921+2003;ht75b;19:21:51.597;8.0e-03;lcx02;+20:03:20.8;8.0e-01;lcx02;*;0;*;*;0;*;54.172   ;2.621    ;
2822;J1921+2153;hbp+68;19:21:44.815;2.0e-03;hlk+04;+21:53:02.25;4.0e-02;hlk+04;17;4.0e+00;zhw+05;32;6.0e+00;zhw+05;55.777   ;3.501    ;
2823;J1921+34;tkt22;19:21;4.0e+00;tkt22;+34:07;1.5e+01;tkt22;*;0;*;*;0;*;66.641   ;9.263    ;
2824;J1922+1131;lsb+17;19:22:50.27;3.0e-02;lsb+17;+11:31:58.5;6.0e-01;lsb+17;*;0;*;*;0;*;46.762   ;-1.601   ;
2825;J1922+1733;lcm13;19:22:53.2180;7.0e-04;lcm13;+17:33:23.47;2.0e-02;lcm13;*;0;*;*;0;*;52.080   ;1.230    ;
2826;J1922+2018;ht75b;19:22:08.00;2.9e-02;hlk+04;+20:17:57.3;5.7e-01;hlk+04;*;0;*;*;0;*;54.417   ;2.678    ;
2827;J1922+2110;dls73;19:22:53.531;5.9e-03;hlk+04;+21:10:41.97;1.4e-01;hlk+04;*;0;*;*;0;*;55.278   ;2.935    ;
2828;J1922+58;slr+14;19:22;3.0e+00;slr+14;+58:28;1.8e+01;slr+14;*;0;*;*;0;*;89.671   ;19.073   ;
2829;J1923-0408;sfj+20;19:23:10.96;3.0e-02;sfj+20;-04:08:19.4;8.0e-01;sfj+20;*;0;*;*;0;*;32.848   ;-8.944   ;
2830;J1923+1143g;hww+21;19:23:38;6.0e+00;hww+21;+11:43;2.0e+00;hww+21;*;0;*;*;0;*;47.016   ;-1.686   ;
2831;J1923+1521g;hww+21;19:23:12;7.0e+00;hww+21;+15:21;2.0e+00;hww+21;*;0;*;*;0;*;50.170   ;0.123    ;
2832;J1923+1706;ht75b;19:23:07.85;1.0e-02;lcx02;+17:06:09.4;2.0e-01;lcx02;*;0;*;*;0;*;51.707   ;0.965    ;
2833;J1923+2022g;hww+21;19:23:56;7.0e+00;hww+21;+20:22;2.0e+00;hww+21;*;0;*;*;0;*;54.676   ;2.338    ;
2834;J1923+2515;lbr+13;19:23:22.492220;3.0e-06;aab+21a;+25:15:40.58114;6.7e-05;aab+21a;-6.92;3.1e-02;*;-14.28;4.9e-02;*;58.946   ;4.749    ;
2835;J1923+4243;slr+14;19:23:15.240;6.9e-03;lsk+18;+42:43:18.64;1.4e-01;lsk+18;*;0;*;*;0;*;74.715   ;12.643   ;
2836;J1924+1343g;hww+21;19:24:20;7.0e+00;hww+21;+13:43;2.0e+00;hww+21;*;0;*;*;0;*;48.860   ;-0.891   ;
2837;J1924+1509g;hww+21;19:24:34;7.0e+00;hww+21;+15:09;2.0e+00;hww+21;*;0;*;*;0;*;50.149   ;-0.262   ;
2838;J1924+1510g;hww+21;19:24:02;7.0e+00;hww+21;+15:10;2.0e+00;hww+21;*;0;*;*;0;*;50.103   ;-0.141   ;
2839;J1924+1628;lbh+15;19:24:44.090;6.0e-03;psf+22;+16:28:37.69;1.6e-01;psf+22;*;0;*;*;0;*;51.337   ;0.331    ;
2840;J1924+1631;nab+13;19:24:54.88;3.0e-02;nab+13;+16:31:48.8;6.0e-01;nab+13;*;0;*;*;0;*;51.405   ;0.318    ;
2841;J1924+1639;lcm13;19:24:03.1115;5.0e-04;lcm13;+16:39:40.756;9.0e-03;lcm13;*;0;*;*;0;*;51.422   ;0.562    ;
2842;J1924+1713;lbh+15;19:24:32.517;1.9e-02;psf+22;+17:13:33.0;3.0e-01;psf+22;*;0;*;*;0;*;51.975   ;0.726    ;
2843;J1924+1917;psf+22;19:24:26.21;4.0e-02;psf+22;+19:17:24.4;3.0e-01;psf+22;*;0;*;*;0;*;53.782   ;1.725    ;
2844;J1924+1923g;hww+21;19:24:20;7.0e+00;hww+21;+19:23;2.0e+00;hww+21;*;0;*;*;0;*;53.853   ;1.791    ;
2845;J1924+1932g;hww+21;19:24:49;7.0e+00;hww+21;+19:32;2.0e+00;hww+21;*;0;*;*;0;*;54.039   ;1.761    ;
2846;J1924+2027g;hww+21;19:24:34;7.0e+00;hww+21;+20:27;2.0e+00;hww+21;*;0;*;*;0;*;54.819   ;2.246    ;
2847;J1924+2037g;hww+21;19:24:34;7.0e+00;hww+21;+20:37;2.0e+00;hww+21;*;0;*;*;0;*;54.966   ;2.325    ;
2848;J1924+2040;ht75b;19:24:40;1.2e+01;wbb+81;+20:40:03;3.0e+01;vms83;*;0;*;*;0;*;55.022   ;2.328    ;
2849;J1925+1532g;hww+21;19:25:00;7.0e+00;hww+21;+15:32;2.0e+00;hww+21;*;0;*;*;0;*;50.536   ;-0.173   ;
2850;J1925-16;bbj+11;19:25:06;2.9e+01;bbj+11;-16:01:00;4.2e+02;bbj+11;*;0;*;*;0;*;22.130   ;-14.537  ;
2851;J1925+1629g;hww+21;19:25:10;7.0e+00;hww+21;+16:29;2.0e+00;hww+21;*;0;*;*;0;*;51.392   ;0.243    ;
2852;J1925+1636g;hww+21;19:25:48;7.0e+00;hww+21;+16:36;2.0e+00;hww+21;*;0;*;*;0;*;51.567   ;0.164    ;
2853;J1925+1720;lbh+15;19:25:27.031;4.0e-03;lsb+17;+17:20:27.31;8.0e-02;lsb+17;*;0;*;*;0;*;52.179   ;0.590    ;
2854;J1925+19;lcm13;19:25:26;2.8e+01;lcm13;+19:04;7.0e+00;lcm13;*;0;*;*;0;*;53.697   ;1.412    ;
2855;J1926+0431;mlt+78;19:26:24.472;2.0e-03;lbs+20;+04:31:31.54;8.0e-02;lbs+20;*;0;*;*;0;*;40.980   ;-5.674   ;
2856;J1926-0652;zlh+19;19:26:37.041;6.0e-03;clh+20;-06:52:42.7;4.0e-01;clh+20;*;0;*;*;0;*;30.751   ;-10.936  ;
2857;J1926+0737;emk+10;19:26:33.740;6.0e-03;eklk13;+07:37:07.2;3.0e-01;eklk13;*;0;*;*;0;*;43.739   ;-4.256   ;
2858;J1926-1314;rsm+13;19:26:53.835;3.0e-03;rsm+13;-13:14:03.8;1.8e+00;rsm+13;*;0;*;*;0;*;24.922   ;-13.763  ;
2859;J1926+1434;ht74;19:26:57.22;2.1e-02;hlk+04;+14:34:55.3;4.6e-01;hlk+04;*;0;*;*;0;*;49.923   ;-1.039   ;
2860;J1926+1452g;hww+21;19:26:55;7.0e+00;hww+21;+14:52;2.0e+00;hww+21;*;0;*;*;0;*;50.169   ;-0.896   ;
2861;J1926+1614;lbh+15;19:26:50.202;3.0e-03;psf+22;+16:14:18.77;9.0e-02;psf+22;*;0;*;*;0;*;51.367   ;-0.226   ;
2862;J1926+1631g;hww+21;19:26:24;7.0e+00;hww+21;+16:31;2.0e+00;hww+21;*;0;*;*;0;*;51.562   ;-0.002   ;
2863;J1926+1648;ht74;19:26:45.322;2.9e-03;hlk+04;+16:48:32.78;6.8e-02;hlk+04;6;8.2e+00;*;-15;1.3e+01;*;51.859   ;0.063    ;
2864;J1926+1857g;hww+21;19:26:59;7.0e+00;hww+21;+18:57;2.0e+00;hww+21;*;0;*;*;0;*;53.768   ;1.034    ;
2865;J1926+1928;ht75b;19:26:22.82;4.0e-02;lcx02;+19:28:11.7;8.0e-01;lcx02;*;0;*;*;0;*;54.158   ;1.407    ;
2866;J1926+2016;lcm13;19:26:18.064;1.0e-03;lcm13;+20:16:01.13;3.0e-02;lcm13;*;0;*;*;0;*;54.851   ;1.802    ;
2867;J1927+0911;lfl+06;19:27:25.628;8.0e-03;lfl+06;+09:11:05.7;3.0e-01;lfl+06;*;0;*;*;0;*;45.224   ;-3.705   ;
2868;J1927+1430g;hww+21;19:27:40;7.0e+00;hww+21;+14:30;2.0e+00;hww+21;*;0;*;*;0;*;49.933   ;-1.230   ;
2869;J1927+1852;ht75b;19:27:10.422;8.0e-03;lcx02;+18:52:08.5;2.0e-01;lcx02;*;0;*;*;0;*;53.718   ;0.956    ;
2870;J1927+1856;ht75b;19:27:24.97;1.0e-02;lcx02;+18:56:36.8;2.0e-01;lcx02;*;0;*;*;0;*;53.811   ;0.941    ;
2871;J1927+2234;ht75b;19:27:08.08;1.0e-02;gr78;+22:34:57.3;2.0e-01;gr78;*;0;*;*;0;*;56.983   ;2.730    ;
2872;J1928-0108;sfj+20;19:28:18.93;2.0e-02;sfj+20;-01:08:55.7;4.0e-01;sfj+20;*;0;*;*;0;*;36.133   ;-8.726   ;
2873;J1928+1245;pkr+19;19:28:45.39360;6.0e-05;pkr+19;+12:45:53.374;3.0e-03;pkr+19;*;0;*;*;0;*;48.534   ;-2.290   ;
2874;J1928+1443;lsb+17;19:28:06.79;5.0e-02;lsb+17;+14:43:11.3;1.2e+00;lsb+17;*;0;*;*;0;*;50.178   ;-1.220   ;
2875;J1928+15;dcm+09;19:28:20;7.0e+00;dcm+09;+15:13;2.0e+00;dcm+09;*;0;*;*;0;*;50.640   ;-1.030   ;
2876;J1928+1725;psf+22;19:28:52;0;psf+22;+17:25:29;0;psf+22;*;0;*;*;0;*;52.641   ;-0.087   ;
2877;J1928+1746;cfl+06;19:28:42.553;1.0e-03;nab+13;+17:46:29.62;3.0e-02;nab+13;*;0;*;*;0;*;52.931   ;0.114    ;
2878;J1928+1809g;hww+21;19:28:06;7.0e+00;hww+21;+18:09;2.0e+00;hww+21;*;0;*;*;0;*;53.191   ;0.420    ;
2879;J1928+1816g;hww+21;19:28:10;7.0e+00;hww+21;+18:16;2.0e+00;hww+21;*;0;*;*;0;*;53.301   ;0.462    ;
2880;J1928+1839g;hww+21;19:28:38;7.0e+00;hww+21;+18:39;2.0e+00;hww+21;*;0;*;*;0;*;53.691   ;0.548    ;
2881;J1928+1852g;hww+21;19:28:05;7.0e+00;hww+21;+18:52;2.0e+00;hww+21;*;0;*;*;0;*;53.819   ;0.766    ;
2882;J1928+1902g;hww+21;19:28:05;7.0e+00;hww+21;+19:02;2.0e+00;hww+21;*;0;*;*;0;*;53.965   ;0.845    ;
2883;J1928+1915g;hww+21;19:29:00;7.0e+00;hww+21;+19:15;2.0e+00;hww+21;*;0;*;*;0;*;54.259   ;0.759    ;
2884;J1928+1923;lcm13;19:28:05.163;5.0e-03;lcm13;+19:23:31.32;8.0e-02;lcm13;*;0;*;*;0;*;54.281   ;1.016    ;
2885;J1928+28;mss+20;19:28;0.0e+00;mss+20;+28;0.0e+00;mss+20;*;0;*;*;0;*;61.860   ;5.120    ;
2886;J1929+00;cnst96;19:29:28;1.6e+01;cnst96;+00:26;5.0e+00;cnst96;*;0;*;*;0;*;37.687   ;-8.253   ;
2887;J1929+0132;mzl+23;19:29:42.52833;2.0e-05;mzl+23;+01:32:46.5630;1.3e-03;mzl+23;*;0;*;*;0;*;38.712   ;-7.792   ;
2888;J1929+1357;lsf+17;19:29:10.62;2.0e-02;lsf+17;+13:57:35.9;5.0e-01;lsf+17;*;0;*;*;0;*;49.633   ;-1.810   ;
2889;J1929+16;lcm13;19:29:18;2.8e+01;lcm13;+16:21;7.0e+00;lcm13;*;0;*;*;0;*;51.747   ;-0.692   ;
2890;J1929+1615g;hww+21;19:29:36;7.0e+00;hww+21;+16:15;2.0e+00;hww+21;*;0;*;*;0;*;51.694   ;-0.803   ;
2891;J1929+1731g;hww+21;19:29:04;7.0e+00;hww+21;+17:31;2.0e+00;hww+21;*;0;*;*;0;*;52.745   ;-0.085   ;
2892;J1929+1844;ht75b;19:29:16.78;4.0e-02;lcx02;+18:44:59.5;7.0e-01;lcx02;*;0;*;*;0;*;53.852   ;0.461    ;
2893;J1929+19;lcm13;19:29:32;7.0e+00;hww+21;+19:05;2.0e+00;hww+21;*;0;*;*;0;*;54.173   ;0.568    ;
2894;J1929+1937g;hww+21;19:29:10;7.0e+00;hww+21;+19:37;2.0e+00;hww+21;*;0;*;*;0;*;54.600   ;0.900    ;
2895;J1929+1955;lcm13;19:29:17.5713;6.0e-04;lcm13;+19:55:07.91;1.0e-02;lcm13;*;0;*;*;0;*;54.879   ;1.018    ;
2896;J1929+2121;lcm13;19:29:04.239;2.0e-03;lcm13;+21:21:22.68;3.0e-02;lcm13;*;0;*;*;0;*;56.117   ;1.751    ;
2897;J1929+3817;kmk+18;19:29:07.014;5.0e-03;kmk+18;+38:17:57.5;1.0e-01;kmk+18;*;0;*;*;0;*;71.174   ;9.689    ;
2898;J1929+62;slr+14;19:29;3.0e+00;slr+14;+62:16;1.8e+01;slr+14;*;0;*;*;0;*;93.758   ;19.635   ;
2899;J1929+66;mss+20;19:29;0.0e+00;mss+20;+66;0.0e+00;mss+20;*;0;*;*;0;*;97.485   ;20.947   ;
2900;J1930+1316;ht75b;19:30:00.947;8.0e-03;gr78;+13:16:11.1;2.0e-01;gr78;*;0;*;*;0;*;49.124   ;-2.319   ;
2901;J1930+1357g;hww+21;19:30:12;7.0e+00;hww+21;+13:57;2.0e+00;hww+21;*;0;*;*;0;*;49.744   ;-2.032   ;
2902;J1930+1403g;hww+21;19:30:18;7.0e+00;hww+21;+14:03;2.0e+00;hww+21;*;0;*;*;0;*;49.843   ;-2.006   ;
2903;J1930+1408;lbh+15;19:30:18.9526;1.8e-03;psf+22;+14:08:55.39;5.0e-02;psf+22;*;0;*;*;0;*;49.932   ;-1.962   ;
2904;J1930+1722;lcm13;19:30:30.11;2.0e-02;psf+22;+17:22:53.2;6.0e-01;psf+22;*;0;*;*;0;*;52.790   ;-0.450   ;
2905;J1930+1852;clb+02;19:30:30.13;4.0e-02;lwa+02;+18:52:14.1;6.0e-01;lwa+02;*;0;*;*;0;*;54.096   ;0.265    ;
2906;J1930-1852;srm+15;19:30:29.7156;7.0e-04;srm+15;-18:51:46.27;6.0e-02;srm+15;*;0;*;*;0;*;19.976   ;-16.873  ;
2907;J1930+2441;pkr+19;19:30:45.39844;6.0e-05;pkr+19;+24:41:01.564;1.0e-03;pkr+19;*;0;*;-10;3.0e+00;PKR+19;59.228   ;3.002    ;
2908;J1931-0144;ttk+17;19:31:32.025;9.0e-03;clh+20;-01:44:22.5;4.0e-01;clh+20;*;0;*;*;0;*;35.974   ;-9.711   ;
2909;J1931+1439;lbh+15;19:31:40.433;1.8e-02;lsb+17;+14:39:38.7;4.0e-01;lsb+17;*;0;*;*;0;*;50.539   ;-2.005   ;
2910;J1931+1536;ht74;19:31:55.71;1.0e-02;lcx02;+15:36:57.5;3.0e-01;lcx02;*;0;*;*;0;*;51.406   ;-1.599   ;
2911;J1931+1817;psf+22;19:31:52.739;4.0e-03;psf+22;+18:17:00.77;8.0e-02;psf+22;*;0;*;*;0;*;53.739   ;-0.303   ;
