ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%),Iono RM,Iono RM error
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MzY=,2025-09-21T19:28:59+00:00,LBAND,1023.5648741682242,10.39031351156964,1.213968280071275e-05,59000.0,0.6412,0.052,1349.77319335938,1.785,-1.62463,0.05,0.1024237204724409,-0.9551299425862775,0.05672301495207448
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NTY=,2025-09-21T22:54:23+00:00,LBAND,1023.4874903925232,10.390291902699866,3.501019345662595e-05,59000.0,2.3366,0.15,932.158264160156,1.117,-1.13574,0.07,0.0876906988188976,-0.5499735723472825,0.05139048697246144
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5MzY=,2025-09-12T12:41:15+00:00,LBAND,1022.462155364486,10.390169797154194,1.9669655816771e-05,59000.0,1.532,0.077,1387.6826171875,1.756,-1.32476,0.05,0.1565575787401575,-0.4266122629824969,0.014445123940781505
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MDk=,2025-10-07T20:12:08+00:00,LBAND,1023.5648741682244,10.390247482279642,1.261194352389947e-05,59000.0,4.5522,0.046,3801.10131835938,4.463,-1.3674,0.03,0.0973462301587301,-0.679561575412531,0.05510721462837227
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5NDM=,2025-09-12T14:53:56+00:00,LBAND,1023.5648741682242,10.39020001398096,1.244774042391669e-05,59000.0,2.3023,0.05,2329.78100585938,2.636,-2.19671,0.04,0.1153650959645669,-1.1813006611873857,0.04264696095696179
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MDM=,2025-10-07T18:17:56+00:00,LBAND,1023.4874903925232,10.390222936595046,1.593776494668224e-05,59000.0,4.5743,0.047,3748.3837890625,4.956,-2.03335,0.03,0.1023237573818897,-1.1894882253006616,0.05785980156170387
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MTE=,2025-10-07T20:46:24+00:00,LBAND,1023.5648741682242,10.39025191101287,1.110038658733305e-05,59000.0,3.9148,0.049,3006.3388671875,3.591,-1.32437,0.03,0.1145445808531746,-0.6170424286022635,0.05411229130764243
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MTA=,2025-10-07T20:29:16+00:00,LBAND,1023.4874903925232,10.3902592773596,9.90164417613866e-06,59000.0,3.1123,0.041,2873.41625976562,3.881,-1.32594,0.03,0.0948726624015748,-0.6461211661489958,0.054642499034748875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5NTk=,2025-09-12T22:51:04+00:00,LBAND,1023.4874903925232,10.390172929110149,2.538355201093727e-05,59000.0,2.4939,0.091,1455.92712402344,1.656,-1.11998,0.06,0.0957418774801587,-0.3893823839754766,0.05212727410189542
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcxMzg=,2025-09-14T19:49:13+00:00,LBAND,1022.5395391401868,10.390178583936589,1.095544536332372e-05,59000.0,10.9446,0.044,8348.8388671875,8.799,-1.29533,0.02,0.1046781994047619,-0.42229350183930403,0.05385391049785696
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcxNDQ=,2025-09-15T16:40:39+00:00,LBAND,1023.5648741682244,10.390194971603549,8.32974610493131e-06,59000.0,1.4437,0.033,3220.93481445312,3.808,-1.82067,0.03,0.1199018823818897,-0.9415137770390276,0.050903013090162985
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcxNDA=,2025-09-14T20:06:20+00:00,LBAND,1023.5648741682244,10.39018262605286,1.345199296114828e-05,59000.0,17.1058,0.051,9664.1953125,9.856,-1.26465,0.02,0.0853992372047244,-0.3994175063015622,0.05389337731350623
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MzU=,2025-10-08T21:40:51+00:00,LBAND,1023.4874903925232,10.390205648159291,3.32790722607083e-05,59000.0,2.0076,0.095,1332.4736328125,1.722,-1.46617,0.07,0.0854069266732283,-0.5210875784390221,0.05154963086734583
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5Mzc=,2025-09-12T12:58:20+00:00,LBAND,1023.4874903925232,10.3901878619123,1.561610197468368e-05,59000.0,1.0002,0.067,1400.16345214844,1.525,-1.55943,0.05,0.1115203617125984,-0.5577855122533038,0.019561358386193467
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY5NDI=,2025-09-12T14:36:50+00:00,LBAND,1023.4874903925232,10.390177367826194,9.60733974526021e-06,59000.0,1.2506,0.041,2205.79907226562,2.456,-2.15002,0.04,0.1710445374015748,-1.1106399570012526,0.040231046133464676
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMDc=,2025-09-17T16:21:41+00:00,LBAND,1023.4874903925232,10.39019689136479,1.168117379907771e-05,59000.0,6.7084,0.039,6011.3671875,7.209,-1.98722,0.03,0.1342811884842519,-1.3015712916124105,0.052114614018143435
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNDc=,2025-09-25T15:55:30+00:00,LBAND,1023.5648741682244,10.39020332889971,2.155634627171848e-05,59000.0,5.5609,0.053,3259.20776367188,3.829,-3.34601,0.04,0.12474624753937,-1.884645100332092,0.05538426854722422
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNTA=,2025-09-27T16:19:43+00:00,LBAND,1023.5648741682244,10.390252497050025,9.34913424698111e-06,59000.0,2.5409,0.028,5043.47509765625,6.404,-3.15307,0.03,0.1214013287401574,-2.2025397114701497,0.05867117626213774
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMzc=,2025-09-18T17:26:50+00:00,LBAND,1023.4874903925232,10.390162050806424,1.338678554596652e-05,59000.0,3.4293,0.057,2715.73388671875,3.408,-1.75061,0.03,0.1151959276574803,-1.044514947736359,0.05406644903847244
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMDY=,2025-09-17T16:04:33+00:00,LBAND,1023.5648741682244,10.390199393310024,1.124399629634574e-05,59000.0,5.7234,0.039,5869.39697265625,6.436,-1.99519,0.03,0.137818343996063,-1.4013495197714296,0.051570999962034354
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMzk=,2025-09-18T18:01:06+00:00,LBAND,1023.4874903925232,10.390154082679928,1.761095597648245e-05,59000.0,4.5829,0.072,2623.18896484375,3.119,-1.66579,0.04,0.1050688976377952,-0.9475658669143348,0.05471986607332776
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNDA=,2025-09-19T22:33:35+00:00,LBAND,1023.5648741682242,10.390175007481147,2.169200037193172e-05,59000.0,9.929,0.076,3527.13134765625,3.964,-1.39996,0.03,0.086298905019685,-0.18420424738584823,0.05066074798825792
