source_id,ra,dec,parallax,bp_rp,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,l,b,parallax_over_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_over_error
2552059469815827456,16.46441258632417,4.908861569234761,22.681583,0.6505661,7.1482916,24.106213,0.030391403,-117.49424,0.021015283,129.67841288421124,-57.77387846374258,821.3561,-7.192743,0.13725917,1.075831,26039350.626875132,4151.2734
2552062493472801152,16.448276870610822,5.000427097391536,28.790714,3.5829268,15.966182,210.31262,0.07999919,-345.6933,0.05717303,129.6305356761567,-57.684496051293394,412.33264,3.3092103,4.461853,1.1211588,7735.243770425821,1195.1714
2552121179905893888,15.959464909337223,5.0761873722871,45.41923,0.35705185,13.937676,325.92966,0.10024095,231.61339,0.064839885,128.71057914762062,-57.65636816378198,528.08276,,,4.502827,50104.442415161684,3144.9756
2552288133874677760,15.603777021144387,5.062519159832716,44.459618,1.2847533,8.022834,329.9201,0.20587444,216.27527,0.1649541,128.05249495741998,-57.70005124966335,345.93237,,,3.2046087,11636254.81232303,946.9995
2552692371901142016,13.288118064242175,5.193194766204478,21.300966,,14.861473,105.12664,0.100028425,-163.4363,0.077848904,123.73027817184439,-57.675897423576345,276.475,-26.94206,5.232163,1.0889597,21397.231660553414,622.6941
2552692376196490624,13.28849493038198,5.193567135239196,21.228043,2.7982864,14.529871,101.22523,0.040892456,-158.6317,0.033779927,123.7309713528209,-57.67552040801239,715.4369,-21.135742,4.1161866,1.2511505,29040.107879536135,2101.5576
2552925644460225152,12.099107075154986,5.27553944692346,134.49484,1.1095943,5.467689,755.8935,0.07685196,-1141.7194,0.060664717,121.51923596363511,-57.58786768411167,2326.269,-10.367759,0.11788173,1.0807776,122425278.34473307,2552.9392
2552928187080872832,12.296740250462333,5.376556608426358,231.78,0.5975876,12.299163,1231.3994,0.022946512,-2711.8826,0.019384578,121.88940640931388,-57.49063693212851,12684.403,,,1.2103684,226611.41071096336,4744.7095
2553083527458029824,13.691577181417694,5.661378307551207,24.125814,3.6960583,16.365507,414.12576,0.116724804,22.172672,0.078809425,124.46063714705042,-57.20049191945494,266.4147,,,1.3100879,5354.80530883322,1070.6196
2553195883802687104,14.435383926013158,5.85573316957686,56.148487,1.8586197,9.563919,-55.518436,0.027328867,1.4034281,0.017381549,125.80966686468146,-56.98079076278948,2401.0393,-15.967306,0.20106146,1.1760323,2814357.7096618195,3011.565
2553935752048977792,7.699790352270129,3.7838793611622275,35.997257,0.6159487,16.091818,195.0834,0.07024182,252.11752,0.041885428,112.98862483880512,-58.688851469476006,743.16437,,,0.9623791,6890.007016666974,2066.3098
2554032474712538880,8.740163711260601,4.380697426610551,21.136284,0.98186016,8.772422,107.56915,0.024820121,-173.33371,0.026603363,115.1110942934997,-58.240623785942326,1130.4714,19.398817,0.1965039,0.8114882,5834157.061636737,7134.7793
2555215995900584448,6.903825079067502,5.699694118371584,46.118298,0.8867035,15.965945,270.67392,0.06813043,-264.4619,0.039477557,112.1013604607655,-56.67026713238523,966.4892,,,0.99970275,7736.931537570371,2299.2373
2555495890328622080,8.960394996946485,6.265737290291978,20.606907,2.799572,19.956068,-337.05453,0.5784391,-319.66852,0.45492455,115.91730993332118,-56.393446154933656,38.810974,,,1.0845073,196.11897403953913,273.23135
2555497745755209088,9.086914456442527,6.319633440122817,21.454582,2.9547262,13.7809105,-54.526287,0.03048131,49.19566,0.024993079,116.15354699834627,-56.35338299981686,707.9984,,,1.4283284,57887.2096992491,1949.3767
2556039495749906688,11.952250578554152,6.031756987979249,24.61603,1.8252258,10.962999,57.491226,0.036565155,-37.38969,0.03322215,121.28283713068048,-56.828372970964914,883.4241,,,1.7571507,775794.8710816907,3003.988
2556424771496343424,13.03918072269926,6.802918680692254,29.761328,1.9018002,11.078663,37.557716,0.030727688,-21.28165,0.022469126,123.25158178094689,-56.068385177707995,952.4852,-7.597259,0.30905816,1.1544377,697399.3880149202,3161.8054
