designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 66029182240278016,66029182240278016,60.869112533327176,24.29729751370435,28.35690192610473,-11.222738292346856,-32.78069632710297,1.0402217,16.185543,3.7524452,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 66144699680456320,66144699680456320,61.14286168534015,25.146729145117472,37.773456596366515,134.6071450781748,-216.27123549062077,1.1339382,13.818205,-0.029310226,,NOT_AVAILABLE,0,true,true,false,false,false,false,false,,,,,,,
Gaia DR3 68732469013606656,68732469013606656,52.52210554521089,24.090929923342035,26.385739676973696,175.95282190847226,-44.66824082830621,2.7584095,16.280443,4.0959597,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
Gaia DR3 73897390524007808,73897390524007808,34.56532552214882,12.86616746371671,21.532169184142667,227.03685095104953,115.56881018391243,1.2018453,16.313728,3.6258583,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,2927.6802,5.1201,-0.2322,47.6518,2.0E-4,1.0E-4,1.0E-4
Gaia DR3 74203982469858816,74203982469858816,34.126686286501574,13.584959360471915,109.94998579551846,504.215607702792,-433.1428938279141,1.5646341,13.555757,3.9364405,18.89453,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 76971277144775296,76971277144775296,30.01073510734121,13.580486466187704,30.727927988736525,263.59349216215713,-13.428844463298347,1.3078415,12.770982,2.7776394,,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 77216369452027776,77216369452027776,31.90737350427632,13.91292965468426,26.429600690527938,261.02155349904575,-177.53152161579186,1.2119333,11.615044,2.197173,-3.6052372,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,
Gaia DR3 81151968244570112,81151968244570112,39.1378064671755,15.174036589083627,20.469649163016037,59.854163561609575,-62.617236625863974,1.2534969,13.5121565,2.5604343,-26.446432,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 81606375784491520,81606375784491520,39.49628021495945,16.63554596318195,31.337198988321703,-41.804897201641325,-311.5274577927381,0.9916515,17.042831,0.8918438,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,
Gaia DR3 82512476444934528,82512476444934528,37.604715066449785,16.805130281118615,50.313465034384166,210.57540274672473,-421.13746730188967,1.228263,15.384781,3.8891287,49.555298,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,
Gaia DR3 82945061255798144,82945061255798144,40.60751485949276,18.245566503618385,25.401211069889378,213.32665984079227,112.5829631818977,1.2273488,11.18573,2.0481625,-0.9413531,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 85787474907458816,85787474907458816,36.856090133769726,18.121562507273783,27.0038428688018,78.79363291628259,-90.28226182088164,1.0766298,11.703235,2.135355,-4.7467856,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 86919967588509824,86919967588509824,35.533321061727996,19.455504392713415,26.62843067173137,-87.53899988416586,-0.33712111396436606,1.204449,13.318316,2.6257048,-27.996418,NOT_AVAILABLE,0,true,true,true,false,false,true,true,3108.2507,4.3235,-0.7295,37.5382,0.0051,0.0033,0.0021
Gaia DR3 93141932091804032,93141932091804032,33.21784035204225,19.665126459900552,21.991651039066156,-3.2999677641454745,90.85005550524116,1.1809301,14.682586,2.8920527,38.82137,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3161.1113,5.0004,-0.1003,45.7654,0.0038,0.0024,0.0017
Gaia DR3 96530321986314624,96530321986314624,25.798963160992827,21.019550800136322,26.03668921367549,-95.13222294203858,-15.255252217397702,2.3948658,12.607932,2.9300241,,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 97993497084921984,97993497084921984,27.018206566174985,21.205767467992107,53.733743433108124,346.43849534019944,-218.38172989300637,1.4426987,11.108311,2.408927,-20.021069,NOT_AVAILABLE,0,true,true,true,false,false,false,true,3211.953,4.1995,-0.8656,18.7077,0.0,0.0,0.0
